序号,提交答卷时间,所用时间,来源,来源详情,来自IP,1、您的性别：,2、您的年龄段：,3、当前所处教育阶段:,4、日均数字媒体接触时长,5、主要使用场景,6、当我浏览社交媒体时，我常常将自己生活状态与他人进行比较,7、我认为自己在网络空间中的形象:,8、你是否会在遇到情绪低落时使用数字媒体（如刷视频、聊天、玩游戏等）？,9、数字媒体使用对你情绪状态的影响—使用后感到焦虑减轻,9、浏览内容后感到烦躁,9、线上互动中产生归属感,9、产生时间管理失控感,9、深夜使用时感到孤独感加剧,10、请分享一个你使用手机/网络时发生的，让你对自己有新的认识的真实经历
1,2025/4/21 12:43:37,68秒,微信,,123.234.46.51(山东-青岛),男,16~18,高中阶段,241-360分钟（4-6小时）,即时通讯（微信/QQ等）→短视频平台（抖音/快手等）→社交媒体（微博/小红书等）→网络游戏→影视娱乐（B站/腾讯视频等）,总是,稍微修饰过的真实自己,总是,完全不符,一般,比较符合,非常符合,非常符合,冲动消费
2,2025/4/21 12:52:47,87秒,微信,,98.116.59.133(国外-美国),女,22岁及以上,高等教育阶段（大学-博士后）,121-240分钟（3-4小时）,即时通讯（微信/QQ等）→短视频平台（抖音/快手等）→社交媒体（微博/小红书等）→网络游戏,总是,稍微修饰过的真实自己,总是,一般,一般,比较符合,一般,比较符合,看到大家那么自律 会有一些动力
3,2025/4/21 13:00:40,276秒,微信,,172.85.116.93(国外-美国),女,22岁及以上,高等教育阶段（大学-博士后）,121-240分钟（3-4小时）,即时通讯（微信/QQ等）→社交媒体（微博/小红书等）→影视娱乐（B站/腾讯视频等）,有时,只展示某些方面的自己,经常,比较符合,一般,非常符合,比较符合,比较符合,开始使用社交媒体创作、发布视频之后，发现自己对他人的评价的在意程度比自己想象中要高。哪怕知道那些评价没有什么实际意义。
4,2025/4/21 13:10:14,48秒,微信,,49.65.154.190(江苏-南京),女,22岁及以上,已工作,241-360分钟（4-6小时）,即时通讯（微信/QQ等）→短视频平台（抖音/快手等）→社交媒体（微博/小红书等）→网络游戏→影视娱乐（B站/腾讯视频等）,有时,不同平台会用不同形象,总是,一般,一般,非常符合,非常符合,完全不符,(空)
5,2025/4/21 13:21:50,103秒,微信,,68.42.143.162(国外-美国),女,22岁及以上,高等教育阶段（大学-博士后）,121-240分钟（3-4小时）,社交媒体（微博/小红书等）→即时通讯（微信/QQ等）→网络游戏→影视娱乐（B站/腾讯视频等）,有时,稍微修饰过的真实自己,经常,比较符合,一般,不太符合,非常符合,一般,(空)
6,2025/4/21 13:28:46,109秒,微信,,73.161.253.14(国外-美国),女,19~21,高等教育阶段（大学-博士后）,≥361分钟（6小时以上）,短视频平台（抖音/快手等）→即时通讯（微信/QQ等）→网络游戏→影视娱乐（B站/腾讯视频等）→社交媒体（微博/小红书等）→知识获取（作业帮/猿辅导等）,有时,只展示某些方面的自己,总是,不太符合,比较符合,一般,非常符合,非常符合,(空)
7,2025/4/21 13:36:06,73秒,微信,,68.174.37.73(国外-美国),女,22岁及以上,高等教育阶段（大学-博士后）,121-240分钟（3-4小时）,即时通讯（微信/QQ等）→影视娱乐（B站/腾讯视频等）→社交媒体（微博/小红书等）→短视频平台（抖音/快手等）,很少,不同平台会用不同形象,有时,一般,一般,不太符合,不太符合,完全不符,(空)
8,2025/4/21 13:39:27,19秒,手机提交,直接访问,120.225.160.9(山东-菏泽),男,19~21,高中阶段,61-120分钟（1-2小时）,即时通讯（微信/QQ等）→社交媒体（微博/小红书等）,有时,完全不同于现实中的我,经常,完全不符,不太符合,一般,比较符合,不太符合,加油
9,2025/4/21 13:57:08,205秒,微信,,112.224.173.178(山东-烟台),女,16~18,高等教育阶段（大学-博士后）,61-120分钟（1-2小时）,即时通讯（微信/QQ等）→短视频平台（抖音/快手等）→社交媒体（微博/小红书等）→知识获取（作业帮/猿辅导等）→网络游戏→影视娱乐（B站/腾讯视频等）,有时,稍微修饰过的真实自己,有时,比较符合,不太符合,不太符合,比较符合,不太符合,在大学生活中原以为很小众的事情，到网络上发现许多大学生都有这样的感受。
10,2025/4/21 14:03:25,59秒,微信,,123.118.101.233(北京-北京),女,22岁及以上,已工作,241-360分钟（4-6小时）,即时通讯（微信/QQ等）→短视频平台（抖音/快手等）→社交媒体（微博/小红书等）→网络游戏→影视娱乐（B站/腾讯视频等）,有时,不同平台会用不同形象,总是,比较符合,不太符合,比较符合,比较符合,比较符合,(空)
11,2025/4/21 17:51:20,97秒,微信,,182.33.216.203(山东-潍坊),男,22岁及以上,已工作,121-240分钟（3-4小时）,即时通讯（微信/QQ等）→短视频平台（抖音/快手等）→网络游戏,从不,只展示某些方面的自己,有时,不太符合,比较符合,完全不符,一般,不太符合,(空)
12,2025/4/21 18:20:01,63秒,微信,,223.104.194.139(山东-青岛),女,16~18,高中阶段,61-120分钟（1-2小时）,即时通讯（微信/QQ等）→短视频平台（抖音/快手等）→社交媒体（微博/小红书等）→影视娱乐（B站/腾讯视频等）→知识获取（作业帮/猿辅导等）→网络游戏,有时,稍微修饰过的真实自己,很少,一般,比较符合,一般,比较符合,比较符合,(空)
13,2025/4/21 21:33:34,207秒,微信,,112.36.224.187(山东-济南),男,22岁及以上,已工作,121-240分钟（3-4小时）,即时通讯（微信/QQ等）→短视频平台（抖音/快手等）→社交媒体（微博/小红书等）→知识获取（作业帮/猿辅导等）→影视娱乐（B站/腾讯视频等）→网络游戏,很少,只展示某些方面的自己,经常,比较符合,不太符合,比较符合,比较符合,不太符合,看别人的经历对自己会有新的启发
14,2025/4/21 23:39:51,331秒,微信,,172.56.32.253(国外-美国),女,22岁及以上,高等教育阶段（大学-博士后）,241-360分钟（4-6小时）,社交媒体（微博/小红书等）→即时通讯（微信/QQ等）→影视娱乐（B站/腾讯视频等）→网络游戏→短视频平台（抖音/快手等）→知识获取（作业帮/猿辅导等）,有时,稍微修饰过的真实自己,经常,一般,比较符合,不太符合,比较符合,完全不符,跟朋友说羡慕明星的个性，朋友说羡慕我的个性
15,2025/4/22 14:27:39,177秒,微信,,223.104.54.189(福建-福州),女,19~21,高中阶段,≥361分钟（6小时以上）,影视娱乐（B站/腾讯视频等）→社交媒体（微博/小红书等）→即时通讯（微信/QQ等）→知识获取（作业帮/猿辅导等）→短视频平台（抖音/快手等）→网络游戏,有时,稍微修饰过的真实自己,经常,一般,一般,一般,一般,一般,(空)
16,2025/4/22 18:47:37,69秒,微信,,223.104.54.174(福建-福州),女,16~18,高中阶段,241-360分钟（4-6小时）,即时通讯（微信/QQ等）→影视娱乐（B站/腾讯视频等）→短视频平台（抖音/快手等）→社交媒体（微博/小红书等）→知识获取（作业帮/猿辅导等）→网络游戏,有时,稍微修饰过的真实自己,经常,一般,一般,一般,一般,一般,(空)
17,2025/4/22 18:49:01,67秒,微信,,223.104.54.15(福建-福州),女,16~18,高中阶段,≥361分钟（6小时以上）,短视频平台（抖音/快手等）→即时通讯（微信/QQ等）→社交媒体（微博/小红书等）→影视娱乐（B站/腾讯视频等）→网络游戏→知识获取（作业帮/猿辅导等）,有时,只展示某些方面的自己,有时,一般,一般,一般,一般,一般,(空)
18,2025/4/22 22:06:01,109秒,微信,,223.104.53.65(福建-泉州),男,16~18,高中阶段,≤60分钟（1小时以内）,网络游戏→影视娱乐（B站/腾讯视频等）→知识获取（作业帮/猿辅导等）→即时通讯（微信/QQ等）→短视频平台（抖音/快手等）→社交媒体（微博/小红书等）,有时,只展示某些方面的自己,经常,比较符合,一般,比较符合,非常符合,不太符合,有突然发现新的网站，发现了新大陆了解到了了解不到的东西
19,2025/4/22 22:35:53,60秒,手机提交,直接访问,14.26.226.94(广东-珠海),男,19~21,高等教育阶段（大学-博士后）,≥361分钟（6小时以上）,即时通讯（微信/QQ等）→影视娱乐（B站/腾讯视频等）→社交媒体（微博/小红书等）→网络游戏,很少,只展示某些方面的自己,有时,一般,不太符合,比较符合,完全不符,完全不符,(空)
20,2025/4/22 22:44:36,45秒,手机提交,直接访问,112.111.55.252(福建-福州),女,19~21,高等教育阶段（大学-博士后）,61-120分钟（1-2小时）,即时通讯（微信/QQ等）→社交媒体（微博/小红书等）→影视娱乐（B站/腾讯视频等）→知识获取（作业帮/猿辅导等）,有时,只展示某些方面的自己,经常,不太符合,一般,比较符合,比较符合,比较符合,(空)
